TysonZip,Address1,Address2,Availability,Price,Beds,Baths,Sqft
67501,"719 E Avenue A, Hutchinson, KS 67501","Hutchinson, KS 67501",Pending,40000,4,4,3407
67501,"207 E 17th Ave, Hutchinson, KS 67501","Hutchinson, KS 67501",For Sale,109900,2,1,1192
67501,"29 E Avenue F, Hutchinson, KS 67501","Hutchinson, KS 67501",For Sale,79900,2,1.5,816
67501,"303 N Westland Dr, Hutchinson, KS 67501","Hutchinson, KS 67501",For Sale,159900,2,1,1200
67501,"1610 E 7th Ave, Hutchinson, KS 67501","Hutchinson, KS 67501",For Sale,126900,3,2,960
67501,"215 E 15th Ave, Hutchinson, KS 67501","Hutchinson, KS 67501",For Sale,145000,2,1,2140
67501,"120 W 17th Ave, Hutchinson, KS 67501","Hutchinson, KS 67501",For Sale,68500,2,1,1388
67501,"413 E 13th Ave, Hutchinson, KS 67501","Hutchinson, KS 67501",Pending,90000,3,1,1250
67501,"401 W 9th Ave, Hutchinson, KS 67501","Hutchinson, KS 67501",Pending,89900,3,2,1516
67501,"610 W 7th Ave, Hutchinson, KS 67501","Hutchinson, KS 67501",Pending,79900,3,1,990
67501,"1501 N Harding St, Hutchinson, KS 67501","Hutchinson, KS 67501",For Sale,65000,2,1,1896
67501,"1413 Eastland Dr, Hutchinson, KS 67501","Hutchinson, KS 67501",Contingent,123000,3,1,1392
67501,"500 E Avenue A, Hutchinson, KS 67501","Hutchinson, KS 67501",Contingent,179900,5,4.5,3542
67501,"225 W 9th Ave, Hutchinson, KS 67501","Hutchinson, KS 67501",For Sale,79900,2,2,1483
67501,"212 E Avenue G, Hutchinson, KS 67501","Hutchinson, KS 67501",For Sale,23000,Studio,1,728
67501,"319 E 8th Ave, Hutchinson, KS 67501","Hutchinson, KS 67501",Pending,120000,3,2,1300
67501,"314 E Avenue G, Hutchinson, KS 67501","Hutchinson, KS 67501",Pending,85900,2,1,1020
67501,"800 N Monroe St, Hutchinson, KS 67501","Hutchinson, KS 67501",For Sale,85000,2,1,1056
67501,"1220 N Washington St, Hutchinson, KS 67501","Hutchinson, KS 67501",Pending,159900,8,4,3630
67501,"111 W 13th Ave, Hutchinson, KS 67501","Hutchinson, KS 67501",For Sale,109900,3,1.5,2002
67501,"315 N Maple St, Hutchinson, KS 67501","Hutchinson, KS 67501",For Sale,54000,2,1,1031
67501,"2413 E Mills Ave, Hutchinson, KS 67501","Hutchinson, KS 67501",Pending,300000,5,3,2880
67501,"704 Herald St, Hutchinson, KS 67501","Hutchinson, KS 67501",Pending,130000,3,1,1488
67501,"105 E 12th Ave, Hutchinson, KS 67501","Hutchinson, KS 67501",Pending,140000,3,1,1642
67501,"514 W 9th Ave, Hutchinson, KS 67501","Hutchinson, KS 67501",For Sale,80300,2,1,1241
67501,"422 E Walker St, Hutchinson, KS 67501","Hutchinson, KS 67501",Pending,22000,1,1,575
67501,"409 Liberty St, Hutchinson, KS 67501","Hutchinson, KS 67501",For Sale,51000,1,1,624
67501,"422 Charles St, Hutchinson, KS 67501","Hutchinson, KS 67501",For Sale,70000,2,1,1808
