TysonZip,Address1,Address2,Style,Price,Beds,Baths,Sqft
60641,4010 W Warwick Ave Unit 1,"Chicago, IL 60641",House,3750,3,2,1330
60641,4239 W Melrose St Unit 1,"Chicago, IL 60641",House,2200,2,1,1100
60641,3205 N Kildare Ave,"Chicago, IL 60641",Townhome,6825,5,4.5,4210
60641,3456 N Kedvale Ave Unit 4708-2,"Chicago, IL 60641",Apartment,1150,1,1,750
60641,4027 W Melrose St Apt 2N,"Chicago, IL 60641",Apartment,1175,1,1,700
60641,4709-15 W Belmont,"Chicago, IL 60641",Apartment,1250,2,1,
60641,4037 W Melrose St Apt 1N,"Chicago, IL 60641",Apartment,950,Studio,1,
60641,4010 W Warwick Ave Unit 2,"Chicago, IL 60641",House,3850,3,2,1330
60641,4157 W Addison St Unit Ch,"Chicago, IL 60641",Apartment,1850,2,1,
60641,5257 W Nelson Ave,"Chicago, IL 60641",Apartment,1350,2,1,
60641,3955 N Lamon Ave,"Chicago, IL 60641",Apartment,925,Studio,1,435
60641,3955 N Lamon Ave,"Chicago, IL 60641",Apartment,1295,1,1,700
60641,3222 N Karlov Ave,"Chicago, IL 60641",Apartment,1525,2,1,
60641,4256 W Belmont Ave,"Chicago, IL 60641",Townhome,6825,5,4.5,
