Address1,Address2,Style,Price,Beds,Baths,Sqft
5115 W Montrose Ave Unit A5,"Chicago, IL 60641",Apartment,1250,1,1,700
529 529 Chestnut # 216,"Bowling Green, KY 42101",Apartment,975,1,1,1000
3925 N Keeler Ave Unit 39292,"Chicago, IL 60641",Apartment,1550,2,1,
3810 S Thompson Ave Unit 33,"Springdale, AR 72764",House,900,2,1,
1728 Casteel Dr,"Jackson, MS 39204",House,1155,3,2,1064
608 Black Oak Ave,"Springdale, AR 72764",Apartment,975,2,2.5,1075
3900 Investor Dr,"Dallas, TX 75237",Condo,699,1,1,614
315 Texas Ln,"Springdale, AR 72764",Condo,1249,3,2,1280
2923 N Long Ave Unit AF2923-2,"Chicago, IL 60641",Apartment,1350,2,1,
2183 Prospector Ct,"Bowling Green, KY 42101",Apartment,1100,2,2,980
406 Upper Stone Ave Apt E,"Bowling Green, KY 42101",Apartment,900,2,2,1200
3708 Verde Glen Ln,"Cumming, GA 30040",Apartment,2150,3,2.5,1740
1010 1010 and 1012 N Turtle Creek Dr,"Rogers, AR 72756",Apartment,1295,2,1,1040
705 State St Unit 30,"Bowling Green, KY 42101",Apartment,995,1,1,789
246 Azalea Cir,"Cumming, GA 30040",Townhome,1850,2,2.5,1639
529 Chestnut St Apt 302,"Bowling Green, KY 42101",Apartment,975,1,1,798
615 W Maple Ave Apt 5,"Enid, OK 73701",House,550,1,1,
2849 N Linder Ave Unit 2,"Chicago, IL 60641",Apartment,1450,2,1,900
500 N 7th St,"Rogers, AR 72756",Apartment,2400,2,1,952
4506 Chapel Ridge Ln,"Council Bluffs, IA 51501",Apartment,1050,4,2,1333
3810 S Thompson Ave Unit 6,"Springdale, AR 72764",House,1000,2,1,
51 Bishopsgate Dr,"Cincinnati, OH 45246",Apartment,1540,2,2,1072
3814 Holliwell Pass,"Cumming, GA 30040",House,2030,3,2.5,1679
4247 N Keystone Ave Apt 102,"Chicago, IL 60641",Condo,1375,1,1,900
362 Upper Stone Ave Apt G,"Bowling Green, KY 42101",Apartment,900,2,2,1200
4715 W Cornelia Ave Unit 47313,"Chicago, IL 60641",Apartment,1475,2,1,
12134 Audie Ct,"Cincinnati, OH 45246",House,2040,3,1.5,1364
3423 Castleberry Village Cir,"Cumming, GA 30040",Townhome,2150,3,2.5,1836
400 E Hemlock St,"Rogers, AR 72756",Townhome,1795,2,2.5,1247
100 Abby Ln,"Broken Bow, OK 74728",Apartment,718,3,2,1050
403 Topmiller Ave,"Bowling Green, KY 42101",Apartment,900,2,1,
1600 Juniper Cir Apt B,"Springdale, AR 72764",Apartment,850,2,1,900
1910 N Grand St,"Enid, OK 73701",House,2000,2,1,
4128 W School St Unit 1,"Chicago, IL 60641",Apartment,1550,2,1,1200
6002 Russellville Rd Apt 114,"Bowling Green, KY 42101",Apartment,825,1,1,695
3404 N Lavergne Ave Unit 2F,"Chicago, IL 60641",Apartment,3500,5,2,
1201 E Broadway Ave Apt J,"Enid, OK 73701",House,700,1,1,
420 Park St Apt 203,"Springdale, AR 72764",Apartment,625,2,1,400
5325 N Oak St,"Springdale, AR 72764",Apartment,1330,3,2,1085
219 Pine Lawn Pl,"Jackson, MS 39204",House,957,2,2,1200
134 Westwood Cir Apt C,"Bowling Green, KY 42101",Condo/Townhome,950,2,2,1100
4267 W Addison St Unit Grdn,"Chicago, IL 60641",Apartment,1050,1,1,
4075 Ridgefair Dr,"Cumming, GA 30040",House,2350,3,2.5,2030
1644 Johnson Dr,"Bowling Green, KY 42101",House,1100,3,2,1100
1510 E Broadway Ave,"Enid, OK 73701",Apartment,615,1,1,850
