TysonZip,Address1,Address2,Availability,Price,Beds,Baths,Sqft,City,State,Zip,lat,lng,county_fips,county_name
68850,"124 Revere Cir, Lexington, NE 68850","Lexington, NE 68850",Pending,358000.0,5.0,3.0,3046.0,Lexington,NE,68850,40.82548,-99.73574,31047,Dawson
68850,"1409 N Jackson St, Lexington, NE 68850","Lexington, NE 68850",Pending,179900.0,2.0,2.0,1450.0,Lexington,NE,68850,40.82548,-99.73574,31047,Dawson
68850,"2003 Freedom Ln, Lexington, NE 68850","Lexington, NE 68850",For Sale,293500.0,3.0,2.0,1608.0,Lexington,NE,68850,40.82548,-99.73574,31047,Dawson
68850,"1806 Independence Ave, Lexington, NE 68850","Lexington, NE 68850",For Sale,294000.0,3.0,2.0,1648.0,Lexington,NE,68850,40.82548,-99.73574,31047,Dawson
68850,"2000 Freedom Ln, Lexington, NE 68850","Lexington, NE 68850",Pending,297500.0,3.0,2.0,1687.0,Lexington,NE,68850,40.82548,-99.73574,31047,Dawson
46947,"168 E Clinton St, Logansport, IN 46947","Logansport, IN 46947",For Sale,249500.0,3.0,2.5,2357.0,Logansport,IN,46947,40.76044,-86.37303,18017,Cass
46947,"8 Golfview Dr, Logansport, IN 46947","Logansport, IN 46947",For Sale,269999.0,4.0,3.5,2694.0,Logansport,IN,46947,40.76044,-86.37303,18017,Cass
46947,"2424 E Perrysburg Rd, Logansport, IN 46947","Logansport, IN 46947",Contingent,189900.0,3.0,1.0,2204.0,Logansport,IN,46947,40.76044,-86.37303,18017,Cass
46947,"106 Yorktown Rd, Logansport, IN 46947","Logansport, IN 46947",For Sale,195000.0,3.0,1.5,3042.0,Logansport,IN,46947,40.76044,-86.37303,18017,Cass
46947,"2613 George St, Logansport, IN 46947","Logansport, IN 46947",For Sale,139500.0,3.0,1.0,1055.0,Logansport,IN,46947,40.76044,-86.37303,18017,Cass
46947,"1307 Wright St, Logansport, IN 46947","Logansport, IN 46947",Contingent,119900.0,4.0,1.0,2048.0,Logansport,IN,46947,40.76044,-86.37303,18017,Cass
46947,"2310 Myers Ln, Logansport, IN 46947","Logansport, IN 46947",For Sale,217000.0,4.0,2.0,2312.0,Logansport,IN,46947,40.76044,-86.37303,18017,Cass
46947,"601 Jackson St, Logansport, IN 46947","Logansport, IN 46947",For Sale,134900.0,3.0,1.5,1008.0,Logansport,IN,46947,40.76044,-86.37303,18017,Cass
46947,"2127 North St, Logansport, IN 46947","Logansport, IN 46947",For Sale,132000.0,3.0,1.0,1580.0,Logansport,IN,46947,40.76044,-86.37303,18017,Cass
46947,"1819 E Broadway, Logansport, IN 46947","Logansport, IN 46947",Foreclosure,114000.0,4.0,2.0,2320.0,Logansport,IN,46947,40.76044,-86.37303,18017,Cass
46947,"731 Marleton Rd, Logansport, IN 46947","Logansport, IN 46947",For Sale,199900.0,3.0,1.5,1470.0,Logansport,IN,46947,40.76044,-86.37303,18017,Cass
46947,"5157 E 75 Rd N, Logansport, IN 46947","Logansport, IN 46947",Contingent,189900.0,3.0,1.5,1433.0,Logansport,IN,46947,40.76044,-86.37303,18017,Cass
46947,"2 Fountain St, Logansport, IN 46947","Logansport, IN 46947",For Sale,189000.0,3.0,2.0,2025.0,Logansport,IN,46947,40.76044,-86.37303,18017,Cass
46947,"1231 S County Road 500 E, Logansport, IN 46947","Logansport, IN 46947",For Sale,305000.0,4.0,3.0,2982.0,Logansport,IN,46947,40.76044,-86.37303,18017,Cass
46947,"765 E County Road 550 N, Logansport, IN 46947","Logansport, IN 46947",Contingent,159900.0,4.0,1.0,2376.0,Logansport,IN,46947,40.76044,-86.37303,18017,Cass
46947,"4720 Grandview Dr, Logansport, IN 46947","Logansport, IN 46947",For Sale,299900.0,4.0,2.5,3890.0,Logansport,IN,46947,40.76044,-86.37303,18017,Cass
46947,"928 High St, Logansport, IN 46947","Logansport, IN 46947",For Sale,149000.0,4.0,2.5,2692.0,Logansport,IN,46947,40.76044,-86.37303,18017,Cass
46947,"1322 High St, Logansport, IN 46947","Logansport, IN 46947",For Sale,150000.0,6.0,5.0,1842.0,Logansport,IN,46947,40.76044,-86.37303,18017,Cass
46947,"3137 N Pennsylvania Ave, Logansport, IN 46947","Logansport, IN 46947",For Sale,239900.0,3.0,2.0,1548.0,Logansport,IN,46947,40.76044,-86.37303,18017,Cass
46947,"5142 N County Road 450 E, Logansport, IN 46947","Logansport, IN 46947",Contingent,264900.0,3.0,3.0,2196.0,Logansport,IN,46947,40.76044,-86.37303,18017,Cass
46947,"2419 Stadium Dr, Logansport, IN 46947","Logansport, IN 46947",For Sale,209000.0,4.0,1.5,1264.0,Logansport,IN,46947,40.76044,-86.37303,18017,Cass
46947,"501 E County Road 300 S, Logansport, IN 46947","Logansport, IN 46947",Contingent,189000.0,3.0,1.5,1712.0,Logansport,IN,46947,40.76044,-86.37303,18017,Cass
46947,"506 Howard St, Logansport, IN 46947","Logansport, IN 46947",For Sale,89900.0,2.0,1.0,690.0,Logansport,IN,46947,40.76044,-86.37303,18017,Cass
46947,"236 W Linden Ave, Logansport, IN 46947","Logansport, IN 46947",For Sale,199000.0,4.0,1.5,2320.0,Logansport,IN,46947,40.76044,-86.37303,18017,Cass
46947,"3825 S County Road 400 Rd, Logansport, IN 46947","Logansport, IN 46947",Contingent,145000.0,3.0,1.0,1337.0,Logansport,IN,46947,40.76044,-86.37303,18017,Cass
46947,"12104 N Meridian Rd, Logansport, IN 46947","Logansport, IN 46947",Contingent,499000.0,3.0,2.0,1848.0,Logansport,IN,46947,40.76044,-86.37303,18017,Cass
46947,"4904 Miami Bend Rd, Logansport, IN 46947","Logansport, IN 46947",Contingent,169900.0,3.0,2.0,1624.0,Logansport,IN,46947,40.76044,-86.37303,18017,Cass
46947,"2116 High St, Logansport, IN 46947","Logansport, IN 46947",Contingent,130000.0,3.0,1.0,1760.0,Logansport,IN,46947,40.76044,-86.37303,18017,Cass
46947,"15 Frederick St, Logansport, IN 46947","Logansport, IN 46947",For Sale,599000.0,6.0,6.0,5332.0,Logansport,IN,46947,40.76044,-86.37303,18017,Cass
46947,"1333 Liberty St, Logansport, IN 46947","Logansport, IN 46947",For Sale,109000.0,3.0,1.5,1616.0,Logansport,IN,46947,40.76044,-86.37303,18017,Cass
